Input,Filtered
-389.0,-389.571
-389.0,-389.524
-390.0,-389.571
-389.0,-389.571
-389.0,-389.524
-390.0,-389.571
-390.0,-389.619
-389.0,-389.571
-389.0,-389.524
-389.0,-389.476
-389.0,-389.429
-389.0,-389.381
-390.0,-389.381
-391.0,-389.429
-391.0,-389.476
-389.0,-389.476
-389.0,-389.476
-389.0,-389.476
-389.0,-389.476
-389.0,-389.429
-390.0,-389.429
-390.0,-389.476
-390.0,-389.524
-389.0,-389.476
-389.0,-389.476
-390.0,-389.524
-390.0,-389.524
-390.0,-389.524
-389.0,-389.524
-389.0,-389.524
-388.0,-389.476
-389.0,-389.476
-390.0,-389.524
-390.0,-389.524
-389.0,-389.429
-389.0,-389.333
-389.0,-389.333
-389.0,-389.333
-389.0,-389.333
-390.0,-389.381
-390.0,-389.429
-389.0,-389.381
-389.0,-389.333
-389.0,-389.286
-389.0,-389.286
-389.0,-389.286
-390.0,-389.286
-390.0,-389.286
-390.0,-389.286
-390.0,-389.333
-390.0,-389.381
-389.0,-389.429
-390.0,-389.476
-390.0,-389.476
-388.0,-389.381
-388.0,-389.333
-391.0,-389.429
-390.0,-389.476
-390.0,-389.524
-389.0,-389.524
-389.0,-389.476
-389.0,-389.429
-390.0,-389.476
-388.0,-389.429
-388.0,-389.381
-390.0,-389.429
-390.0,-389.476
-390.0,-389.476
-390.0,-389.476
-390.0,-389.476
-390.0,-389.476
-389.0,-389.429
-389.0,-389.429
-389.0,-389.381
-389.0,-389.333
-389.0,-389.381
-390.0,-389.476
-390.0,-389.429
-390.0,-389.429
-390.0,-389.429
-389.0,-389.429
-390.0,-389.476
-390.0,-389.524
-390.0,-389.524
-390.0,-389.619
-389.0,-389.667
-389.0,-389.619
-389.0,-389.571
-391.0,-389.619
-391.0,-389.667
-389.0,-389.619
-389.0,-389.571
-389.0,-389.571
-390.0,-389.619
-390.0,-389.667
-389.0,-389.667
-389.0,-389.667
-390.0,-389.667
-390.0,-389.667
-389.0,-389.619
-408.0,-390.476
-408.0,-391.381
-383.0,-391.048
-383.0,-390.714
-254.0,-384.238
-493.0,-389.143
-493.0,-394.095
-419.0,-395.524
-419.0,-396.952
-423.0,-398.476
-429.0,-400.286
-429.0,-402.19
-373.0,-401.429
-373.0,-400.667
-147.0,-389.095
-119.0,-376.19
-119.0,-363.333
-153.0,-352.095
-153.0,-340.809
-175.0,-330.571
-253.0,-324.095
-253.0,-316.714
-292.0,-311.19
-292.0,-306.857
-698.0,-321.857
-359.0,-326.857
-359.0,-320.476
-205.0,-306.762
-230.0,-297.762
-249.0,-289.667
-249.0,-281.381
-292.0,-274.857
-292.0,-268.333
-348.0,-267.143
-320.0,-264.619
-320.0,-272.857
-255.0,-279.333
-255.0,-285.81
-184.0,-287.286
-175.0,-288.333
-175.0,-288.333
-220.0,-286.762
-220.0,-285.19
-283.0,-284.762
-299.0,-285.095
-299.0,-266.095
-319.0,-264.19
-319.0,-262.286
-665.0,-284.19
-239.0,-284.619
-239.0,-284.143
-465.0,-294.429
-465.0,-302.667
-364.0,-306.095
-391.0,-308.143
-391.0,-311.524
-381.0,-314.429
-381.0,-320.429
-374.0,-326.095
-376.0,-335.238
-376.0,-344.81
-376.0,-354.381
-377.0,-361.857
-376.0,-369.286
-376.0,-373.714
-377.0,-377.429
-377.0,-381.143
-376.0,-383.857
-376.0,-386.571
-376.0,-372.81
-377.0,-379.381
-377.0,-385.952
-377.0,-381.762
-376.0,-377.524
-376.0,-378.095
-377.0,-377.429
-377.0,-376.762
-376.0,-376.524
-376.0,-376.286
-376.0,-376.381
-376.0,-376.381
-376.0,-376.381
-376.0,-376.381
-376.0,-376.333
-376.0,-376.333
-377.0,-376.381
-377.0,-376.381
-394.0,-377.19
-457.0,-381.048
-457.0,-384.905
-596.0,-395.381
-326.0,-392.952
-268.0,-387.762
-268.0,-382.571
-131.0,-370.905
-131.0,-359.238
-35.0,-342.952
-39.0,-326.857
-39.0,-310.81
-64.0,-295.952
-64.0,-281.095
-209.0,-273.143
-389.0,-273.762
-389.0,-274.381
-503.0,-280.429
-503.0,-286.476
-588.0,-296.524
-752.0,-314.381
-752.0,-331.429
-904.0,-352.714
-904.0,-374.0
-984.0,-392.476
-1020.0,-425.524
-1020.0,-461.333
-836.0,-488.381
-836.0,-521.952
-645.0,-546.429
-439.0,-565.667
-439.0,-584.714
-255.0,-595.0
-255.0,-604.095
-107.0,-606.143
-107.0,-601.286
-1779.0,-667.476
-1779.0,-733.667
-1469.0,-779.667
-1469.0,-825.667
-1190.0,-854.333
-686.0,-851.191
-686.0,-848.048
54.0,-802.429
54.0,-756.81
769.0,-673.333
861.0,-583.762
861.0,-494.191
554.0,-428.0
554.0,-361.81
301.0,-316.762
280.0,-282.524
